band_id,phase,source,record,species,formula,charge,n_c,uid,temperature_K,resolution_cm,frequency_cm,intensity,intensity_unit,snr,fwhm_cm,u_c_cm,u_res_cm,source_ref,role,family,temperature_source,chi_F_cm_per_K,chi_F_source,nu_m_cm,u_296_cm,delta_T_cm,u_T_cm,u_band_cm,u_band_without_T_cm,nu_m_source
24,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1113.8,17.0,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
25,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1137.3,7.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
26,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1264.0,71.0,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
27,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1309.6,192.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
28,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1333.2,26.0,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
29,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1519.0,5.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
30,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,1589.8,20.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
31,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,2974.6,3.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-stretch,,,,,,,,,,
32,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,3042.6,39.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-stretch,,,,,,,,,,
33,matrix,PAHdb experimental 3.10 (Ar matrix),uid 269,phenazine,C12H8N2-,-1,12,269,,,3077.7,10.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-stretch,,,,,,,,,,
34,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,596.9,15.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,low / skeletal,,,,,,,,,,
35,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,658.0,1.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
36,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,752.4,124.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
37,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,820.8,21.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
38,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,905.5,2.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
39,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,960.0,1.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
40,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,997.4,4.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
41,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1078.3,2.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
42,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1113.4,19.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
43,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1139.5,8.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
44,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1211.3,2.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
45,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1329.5,1.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
46,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1344.9,0.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
47,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1362.0,7.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
48,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1364.8,6.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
49,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1369.2,9.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
50,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1435.2,7.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
51,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1448.2,1.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
52,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1480.0,5.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
53,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1510.6,1.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
54,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1517.8,39.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
55,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1523.8,2.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
56,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1624.1,13.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
57,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1710.5,1.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
58,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1936.5,2.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
59,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,1957.0,3.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
60,matrix,PAHdb experimental 3.10 (Ar matrix),uid 267,phenazine,C12H8N2,0,12,267,,,3051.0,35.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-stretch,,,,,,,,,,
61,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,567.0,36.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,low / skeletal,,,,,,,,,,
62,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,723.0,7.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
63,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,755.5,57.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
64,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,826.4,12.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
65,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,841.2,7.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
66,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,897.9,2.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
67,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1022.5,8.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,ring / CH-ip (9-10.5 um),,,,,,,,,,
68,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1113.7,6.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
69,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1137.3,66.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
70,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1243.0,38.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-ip-bend (8.6 um),,,,,,,,,,
71,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1264.6,5.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
72,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1276.1,344.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
73,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1281.8,5.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
74,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1295.9,6.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
75,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1309.5,6.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
76,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1315.4,13.7,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
77,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1335.0,142.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
78,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1349.0,420.3,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
79,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1361.3,58.4,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
80,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1389.2,4.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
81,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1452.4,9.9,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
82,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1464.5,13.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
83,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1494.6,32.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch/CH-ip (7.7 um),,,,,,,,,,
84,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1519.4,5.1,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
85,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1577.2,10.5,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
86,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,1590.0,31.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CC-stretch (6.2 um),,,,,,,,,,
87,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2487.7,5.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
88,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2516.1,5.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
89,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2540.2,5.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
90,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2734.2,12.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
91,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2763.3,6.8,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
92,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,2934.1,10.2,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,overtone / combination region,,,,,,,,,,
93,matrix,PAHdb experimental 3.10 (Ar matrix),uid 268,phenazine,C12H8N2+,1,12,268,,,3095.0,6.6,relative (PAHdb experimental),,,,,10.1016/j.asr.2005.03.127,matrix,CH-stretch,,,,,,,,,,
94,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,595.2,0.87448,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
95,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,618.6,3.0406,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
96,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,619.9,2.3544,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
97,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,636.7,0.92941,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
98,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,639.9,1.8897,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
99,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,642.0,0.43043,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,low / skeletal,,,,,,,,,,
100,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,708.4,0.45625,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
101,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,711.7,0.32261,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
102,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,722.3,15.0,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
103,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,740.2,4.9766,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
104,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,745.9,45.022,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
105,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,799.8,0.74612,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
106,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,807.6,17.841,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
107,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,826.6,9.7026,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
108,matrix,PAHdb experimental 3.10 (Ar matrix),uid 274,"7,8-benzoquinoline",C13H9N,0,13,274,,,834.0,31.184,relative (PAHdb experimental),,,,,10.1021/jp021938c,matrix,CH-oop (10.5-15 um; benzene nu11 at 673 included),,,,,,,,,,
