pair_id,uid,formula,charge,n_c,n_h,has_n,n_solo,n_duo,n_trio,n_quartet,point_group,ladder,lab_doi,species_name,nu_lab_cm,rel_int_lab,nu_scaled_cm,nu_unscaled_cm,scale,scale_region,intensity_km_mol,log10_intensity,rel_int_comp,irrep,family,n_candidates,y_cm
53,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",3060.3,1.0,3060.8424,3189.374179431072,0.9597,2,11.3163,1.053704452271835,0.2832,A',CH-stretch,7,-0.542
54,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",745.9,0.9168,749.9378,765.7114559934654,0.9794,0,37.9499,1.5792106358440048,0.9498,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),3,-4.038
55,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",834.0,0.635,839.3429,856.9970390034714,0.9794,0,37.0271,1.5685196989974013,0.9267,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),3,-5.343
56,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",807.6,0.3633,811.1882,828.2501531549929,0.9794,0,17.3249,1.2386707365263536,0.4336,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-3.588
57,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1596.2,0.3329,1599.1485,1650.1377566814572,0.9691,1,17.7822,1.2499854905348762,0.445,A',CC-stretch (6.2 um),4,-2.948
58,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1632.4,0.3138,1624.732,1676.5369930863687,0.9691,1,3.4677,0.5400415184523257,0.0868,A',CC-stretch (6.2 um),2,7.668
59,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",722.3,0.3054,725.4231,740.6811313048805,0.9794,0,9.0022,0.9543486573395753,0.2253,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),3,-3.123
60,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1447.7,0.2984,1447.0407,1493.1799607883604,0.9691,1,17.5735,1.2448582657246225,0.4398,A',CC-stretch/CH-ip (7.7 um),2,0.659
61,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1405.7,0.2976,1392.2589,1436.6514291610774,0.9691,1,30.1434,1.4791922366302166,0.7544,A',CC-stretch/CH-ip (7.7 um),1,13.441
62,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",826.6,0.1976,839.8841,857.5496222176843,0.9794,0,1.3784,0.13937526443997209,0.0345,A',CH-oop (10.5-15 um; benzene nu11 at 673 included),3,-13.284
63,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1500.4,0.1884,1498.6234,1546.4073882984212,0.9691,1,7.3534,0.8664881907599692,0.184,A',CC-stretch/CH-ip (7.7 um),2,1.777
64,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",3033.5,0.1762,3035.2394,3162.696050849224,0.9597,2,30.3584,1.4822788789005883,0.7598,A',CH-stretch,4,-1.739
65,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1515.5,0.1316,1516.2712,1564.6178928903105,0.9691,1,12.0715,1.0817612387176663,0.3021,A',CC-stretch (6.2 um),2,-0.771
66,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1451.0,0.1234,1443.9799,1490.0215664018162,0.9691,1,5.0595,0.7041076002448827,0.1266,A',CC-stretch/CH-ip (7.7 um),2,7.02
67,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",3099.3,0.1128,3101.5874,3231.830155256851,0.9597,2,5.3658,0.7296344811359369,0.1343,A',CH-stretch,3,-2.287
68,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1133.4,0.1126,1129.6409,1165.6597874316378,0.9691,1,1.7522,0.2435836759981911,0.0439,A',CH-ip-bend (8.6 um),3,3.759
69,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1095.2,0.1066,1086.1453,1120.777319162109,0.9691,1,4.8882,0.6891489666942865,0.1223,A',ring / CH-ip (9-10.5 um),1,9.055
70,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1018.2,0.1018,1016.3331,1037.7099244435367,0.9794,0,2.5944,0.41403693566491634,0.0649,A',ring / CH-ip (9-10.5 um),2,1.867
71,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",740.2,0.1013,718.5237,733.6366142536245,0.9794,0,3.3886,0.530020306504705,0.0848,A',CH-oop (10.5-15 um; benzene nu11 at 673 included),3,21.676
72,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",953.9,0.0968,956.4661,976.583724729426,0.9794,0,1.1027,0.04245737457432092,0.0276,"A""",ring / CH-ip (9-10.5 um),2,-2.566
73,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1155.6,0.0808,1151.8849,1188.6130430296153,0.9691,1,3.0826,0.4889171740735288,0.0771,A',CH-ip-bend (8.6 um),3,3.715
74,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1276.1,0.0804,1264.1831,1304.4918997007533,0.9691,1,2.1187,0.3260694665888942,0.053,A',CC-stretch/CH-ip (7.7 um),2,11.917
75,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1576.4,0.0737,1568.4962,1618.5081002992467,0.9691,1,9.5154,0.9784270494954945,0.2381,A',CC-stretch (6.2 um),2,7.904
76,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1223.8,0.0674,1219.5697,1258.4559900939016,0.9691,1,2.6908,0.42988141901076454,0.0673,A',CH-ip-bend (8.6 um),2,4.23
77,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",618.6,0.0619,619.2443,632.269042270778,0.9794,0,6.8198,0.8337716385611715,0.1707,A',low / skeletal,2,-0.644
78,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1379.4,0.051,1350.6169,1393.68166339903,0.9691,1,1.1451,0.058843414668761196,0.0287,A',CC-stretch/CH-ip (7.7 um),2,28.783
79,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1331.3,0.0497,1333.6573,1376.1813022391912,0.9691,1,2.819,0.4500950758716023,0.0706,A',CC-stretch/CH-ip (7.7 um),2,-2.357
80,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",619.9,0.0479,596.2172,608.7576066979784,0.9794,0,1.6302,0.21224088880153444,0.0408,"A""",low / skeletal,2,23.683
81,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",882.9,0.0424,880.2344,898.7486216050644,0.9794,0,2.6381,0.4212912539188606,0.066,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),2,2.666
82,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",877.1,0.0344,878.9321,897.4189299571166,0.9794,0,4.1917,0.6223901926286214,0.1049,A',CH-oop (10.5-15 um; benzene nu11 at 673 included),2,-1.832
83,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",944.9,0.0319,946.618,966.5284868286706,0.9794,0,1.6256,0.21101369060382522,0.0407,"A""",CH-oop (10.5-15 um; benzene nu11 at 673 included),2,-1.718
84,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1300.6,0.0222,1297.5542,1338.927045712517,0.9691,1,2.7646,0.4416323036843136,0.0692,A',CC-stretch/CH-ip (7.7 um),1,3.046
85,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1022.5,0.0178,1038.8476,1060.6979783540944,0.9794,0,3.4452,0.5372144385441308,0.0862,A',ring / CH-ip (9-10.5 um),2,-16.348
86,274,C13H9N,0,13,9,1,0,2,3,4,1-A',,10.1021/jp021938c,"7,8-benzoquinoline",1202.4,0.0141,1201.0109,1239.3054380352903,0.9691,1,1.0947,0.03929511808431072,0.0274,A',CH-ip-bend (8.6 um),2,1.389
87,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1518.9,1.0,1525.3062,1573.9409761634506,0.9691,1,35.8657,1.5546793114901687,0.462,B2,CC-stretch (6.2 um),1,-6.406
88,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,739.6,0.8374,742.0121,757.6190524811109,0.9794,0,77.6344,1.890054200894429,1.0,B1,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-2.412
89,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,3061.5,0.6833,3061.2911,3189.841721371262,0.9597,2,27.6801,1.442167654764841,0.3565,A1,CH-stretch,8,0.209
90,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1625.4,0.3572,1621.3426,1673.039521205242,0.9691,1,15.8551,1.2001689855186568,0.2042,B2,CC-stretch (6.2 um),2,4.057
91,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,601.6,0.2658,603.0849,615.769756994078,0.9794,0,9.5425,0.9796621686211364,0.1229,B2,low / skeletal,2,-1.485
92,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,3083.4,0.2264,3088.9938,3218.7077211628634,0.9597,2,23.5067,1.371191664753019,0.3028,B2,CH-stretch,6,-5.594
93,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,906.8,0.2077,912.6008,931.795793342863,0.9794,0,17.569,1.2447470428361402,0.2263,B1,CH-oop (10.5-15 um; benzene nu11 at 673 included),2,-5.801
94,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,906.8,0.2073,913.3628,932.573820706555,0.9794,0,1.1001,0.04143216468026519,0.0142,B2,CH-oop (10.5-15 um; benzene nu11 at 673 included),2,-6.563
95,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,854.4,0.1882,859.6861,877.7681233408209,0.9794,0,11.056,1.043598030030123,0.1424,B1,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,-5.286
96,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1141.5,0.1634,1136.7547,1173.0004127541015,0.9691,1,9.5866,0.9816646068521564,0.1235,A1,CH-ip-bend (8.6 um),3,4.745
97,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1465.7,0.1572,1465.2169,1511.9357135486534,0.9691,1,3.8123,0.5811870690958976,0.0491,A1,CC-stretch/CH-ip (7.7 um),3,0.483
98,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1561.0,0.1431,1555.0718,1604.6556598906202,0.9691,1,8.7425,0.9416356409812824,0.1126,A1,CC-stretch (6.2 um),2,5.928
99,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,3041.1,0.1325,3043.9142,3171.735125560071,0.9597,2,5.7035,0.7561414458832848,0.0735,A1,CH-stretch,4,-2.814
100,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,1404.8,0.1294,1394.2735,1438.7302651945104,0.9691,1,6.0739,0.7834676374660632,0.0782,A1,CC-stretch/CH-ip (7.7 um),1,10.526
101,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,788.6,0.1261,788.234,804.8131509087196,0.9794,0,8.0022,0.9032094015557169,0.1031,B1,CH-oop (10.5-15 um; benzene nu11 at 673 included),2,0.366
102,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,3095.6,0.1099,3089.4749,3219.2090236532254,0.9597,2,9.633,0.9837615602861649,0.1241,A1,CH-stretch,4,6.125
103,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,3033.9,0.1092,3050.3278,3178.41804730645,0.9597,2,9.1773,0.962714928742047,0.1182,A1,CH-stretch,4,-16.428
104,487,C13H9N,0,13,9,1,1,0,0,8,1-A1,,10.1016/j.saa.2017.03.044,acridine,998.9,0.0893,1011.186,1032.454564018787,0.9794,0,4.2072,0.623993157805401,0.0542,B2,ring / CH-ip (9-10.5 um),1,-12.286
