record,species,role,family,n,T_source_K,chi_F,chi_F_source,nu_m,u_296,delta_T,u_T,u_res,u_c_median,u_band_min,u_band_median,decidable_at_2,decidable_at_5,decidable_at_10
C91203_1.jdx,naphthalene,secondary,CC-stretch/CH-ip (7.7 um),4,518.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.77,13.48,4.0,0.2315,14.07,14.07,False,False,False
C91203_1.jdx,naphthalene,secondary,CC-stretch (6.2 um),6,518.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.77,13.48,4.0,0.262,14.07,14.07,False,False,False
C91203_1.jdx,naphthalene,secondary,overtone / combination region,11,518.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.77,13.48,4.0,0.28,14.07,14.07,False,False,False
C91203_1.jdx,naphthalene,secondary,CH-stretch,2,518.15,0.0201,"measured, naphthalene (item 52 Table 1)",440.8,1.69,4.47,6.16,4.0,0.6995,7.34,7.4,False,False,True
C91203_1.jdx,naphthalene,secondary,above 3200,8,518.15,0.044,floor 0.044 (no measured slope for this family),440.8,3.71,9.77,13.48,4.0,0.092,14.07,14.07,False,False,False
C71432_1.jdx,benzene,gas only,low / skeletal,2,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,11.588000000000001,16.78,17.2,False,False,False
C71432_1.jdx,benzene,gas only,CH-oop (10.5-15 um; benzene nu11 at 673 included),6,523.15,0.0169,stand-in: pyrene (item 52 Table 1),553.8,0.98,3.84,4.82,2.0,0.003,5.22,5.22,False,False,True
C71432_1.jdx,benzene,gas only,ring / CH-ip (9-10.5 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,0.052,12.7,12.7,False,False,False
C71432_1.jdx,benzene,gas only,CH-ip-bend (8.6 um),2,523.15,0.01,stand-in: pyrene (item 52 Table 1),553.8,0.58,2.27,2.85,2.0,11.3225,11.68,11.84,False,False,False
C71432_1.jdx,benzene,gas only,CC-stretch/CH-ip (7.7 um),6,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,7.216,12.7,14.61,False,False,False
C71432_1.jdx,benzene,gas only,CC-stretch (6.2 um),3,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,1.832,12.7,12.83,False,False,False
C71432_1.jdx,benzene,gas only,overtone / combination region,15,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,8.964,12.7,15.55,False,False,False
C71432_1.jdx,benzene,gas only,CH-stretch,9,523.15,0.0284,stand-in: pyrene (item 52 Table 1),553.8,1.64,6.45,8.1,2.0,0.027,8.34,8.34,False,False,True
C71432_1.jdx,benzene,gas only,above 3200,3,523.15,0.044,floor 0.044 (no measured slope for this family),553.8,2.55,9.99,12.54,2.0,9.578,15.81,15.91,False,False,False
C71432_quantir_res0.125_boxcar.jdx,benzene,R0 scoreboard,CH-oop (10.5-15 um; benzene nu11 at 673 included),1,296.15,0.044,floor 0.044 (probe 2a; decision 29 correction NOT_RUN),553.8,2.55,0.0,2.55,0.125,,2.55,2.55,False,True,True
C71432_quantir_res0.125_boxcar.jdx,benzene,R0 scoreboard,ring / CH-ip (9-10.5 um),1,296.15,0.044,floor 0.044 (probe 2a; decision 29 correction NOT_RUN),553.8,2.55,0.0,2.55,0.125,,2.55,2.55,False,True,True
C71432_quantir_res0.125_boxcar.jdx,benzene,R0 scoreboard,CC-stretch/CH-ip (7.7 um),1,296.15,0.044,floor 0.044 (probe 2a; decision 29 correction NOT_RUN),553.8,2.55,0.0,2.55,0.125,,2.55,2.55,False,True,True
C71432_quantir_res0.125_boxcar.jdx,benzene,R0 scoreboard,CH-stretch,1,296.15,0.044,floor 0.044 (probe 2a; decision 29 correction NOT_RUN),553.8,2.55,0.0,2.55,0.125,,2.55,2.55,False,True,True
